product,product_URL,product_type
Vitamix blender, https://vitamix.com/blenders, blender
Lenova laptop, https://lenova.com/laptops, computer
InstantPot pressure cooker,https://InstantPot.com/cookers,pressure cooker
NemoK blender,http://nemoK.co/blenders,blender
Hamilton Beach blender,https://HamiltonBeach/blenders,blender
Lavazza Coffee,https://Lavazza.com/coffee,coffee
Starbucks Coffee,https://Starbucks.com/coffee,coffee
Centrum MultiVitamins,https://centrum.com/vitamins,vitamin
NordicTrack treadmill,https://NordicTrack.com/treadmills,treadmill
NordicTrack rower,https://NordicTrack.com/rowers,rowing machine
Clinique moisturizer,https://clinique.com/moisturizers,face cream
NordicTrack elliptical,https://NordicTrack/elliptical,elliptical trainer
Tesla,https://tesla.com,car
Ford  sedan,https://ford.com/sedans,car
Levis Jeans,https://levis.com/jeans,jeans
Lee jeans,https://lees.com/jeans,jeans
Cougar jeans,https://cougar.co/jeans,jeans
Docker pants,https://docker.com/pants,pants
Coach purse,https://coach.com/purses,women's purse
LG TV,https://lg.com/tvs,television
Maybelline lipstick,http://maybelline.com/lipstick,lipstick
Apple iPad,https://apple.com/ipads,tablet
Dell laptop,https://dell.com/laptops,computer
Ikea sofa,https://Ikea.com/sofas,furniture
Broyhill recliner,https://broyhill.com/recliners,furniture
Kaai handbags,https://kaai.com/handbags,women's purse
Maytag washer,https://maytag.com/washers,washer
Maytag dryer,https://maytag.com/dryers,dryer
Maytag refrigerator,https://maytag.com/refrigerators,refrigerator
LG washer,https://lg.com/washers,washer
LG dryer,https://lg.com/dryers,dryer
Haier refrigerator,https://haier.com/refrigerators,refrigerator
Sony TV,https://sony.com/televisions,television
Samsung TV,https://samsung.com/televisions,television
Samsung washer,https://samsung.com/washers,washer
Samsung dryer,https://samsung.com/dryers,dryer
Covergirl makeup,https://covergirl.co/makeup,makeup
covergirl lipstick,https://covergirl.co/lipsticks,lipstick
Givenchy perfume,https://givenchy.com/perfumes,perfume
Giorgio perfume,https://giorgio.com/perfumes,perfume
BasilBasel perfume,https://basilbasel.io/perfumes,perfume
Soundwave speakers,https://soundwave.ai/speakers,speakers
bose speakers,https://bose.com/speakers,speakers
Apple computer,https://apple.com/computers,computer
Dell computer,https://dell.com/computers,computer
Apple laptop,https://apple.com/laptops,computer
Dell laptop,https://dell.com/laptops,computer
Guess perfume,https://guess.com/perfumes,perfume
Remington shaver,https://remington.com/shavers,shaver
Gillette shaver,https://gillette.com/shavers,shaver
Jaguar perfume,https://jaguar.co/perfumes,perfume
